t,x,y
0.0,247,111
0.005076013299154844,247,113
0.010152026598309688,247,114
0.015228039897464532,247,114
0.020304053196619376,246,112
0.02538006649577422,246,109
0.030456079794929064,246,105
0.03553209309408391,247,100
0.04060810639323875,247,95
0.045684119692393596,247,89
0.05076013299154844,247,84
0.055836146290703284,248,79
0.06091215958985813,248,75
0.06598817288901297,248,72
0.07106418618816782,248,71
0.07614019948732266,248,70
0.0812162127864775,248,72
0.08629222608563235,248,74
0.09136823938478719,248,78
0.09644425268394204,247,82
0.10152026598309688,247,87
0.10659627928225172,247,92
0.11167229258140657,247,97
0.11674830588056141,247,102
0.12182431917971626,247,106
0.1269003324788711,247,109
0.13197634577802594,247,111
0.13705235907718077,247,111
0.14212837237633563,247,111
0.14720438567549046,247,109
0.15228039897464532,247,106
0.15735641227380015,247,103
0.162432425572955,247,98
0.16750843887210984,247,94
0.1725844521712647,247,89
0.17766046547041953,247,84
0.18273647876957438,248,80
0.18781249206872921,248,77
0.19288850536788407,248,74
0.1979645186670389,248,73
0.20304053196619376,248,73
0.2081165452653486,248,74
0.21319255856450345,248,76
0.21826857186365828,247,80
0.22334458516281314,247,84
0.22842059846196797,247,88
0.23349661176112282,247,92
0.23857262506027765,247,97
0.2436486383594325,247,101
0.24872465165858734,247,104
0.2538006649577422,247,107
0.25887667825689703,247,108
0.2639526915560519,247,109
0.26902870485520675,247,109
0.27410471815436155,247,107
0.2791807314535164,247,104
0.28425674475267126,247,101
0.2893327580518261,247,97
0.2944087713509809,247,93
0.2994847846501358,247,89
0.30456079794929064,247,85
0.3096368112484455,248,81
0.3147128245476003,248,78
0.31978883784675516,248,76
0.32486485114591,248,75
0.3299408644450649,248,75
0.3350168777442197,248,76
0.34009289104337453,248,79
0.3451689043425294,248,82
0.35024491764168425,248,85
0.35532093094083905,247,89
0.3603969442399939,247,93
0.36547295753914877,247,97
0.3705489708383036,247,100
0.37562498413745843,247,103
0.3807009974366133,247,105
0.38577701073576814,247,106
0.390853024034923,247,107
0.3959290373340778,247,106
0.40100505063323266,247,104
0.4060810639323875,247,102
0.4111570772315424,247,99
0.4162330905306972,247,96
0.42130910382985204,247,92
0.4263851171290069,247,88
0.43146113042816175,248,85
0.43653714372731656,248,82
0.4416131570264714,248,79
0.4466891703256263,248,78
0.45176518362478113,248,77
0.45684119692393593,248,77
0.4619172102230908,248,78
0.46699322352224565,248,80
0.4720692368214005,248,83
0.4771452501205553,248,86
0.48222126341971017,247,90
0.487297276718865,247,93
0.4923732900180199,247,96
0.4974493033171747,247,99
0.5025253166163296,248,102
0.5076013299154843,247,103
0.5126773432146392,248,104
0.5177533565137941,248,104
0.5228293698129489,248,104
0.5279053831121038,248,102
0.5329813964112586,247,100
0.5380574097104135,247,97
0.5431334230095684,247,94
0.5482094363087231,247,90
0.553285449607878,248,87
0.5583614629070328,248,84
0.5634374762061877,248,82
0.5685134895053425,248,80
0.5735895028044974,248,78
0.5786655161036522,248,78
0.5837415294028071,248,78
0.5888175427019618,248,80
0.5938935560011167,248,82
0.5989695693002716,247,84
0.6040455825994264,247,87
0.6091215958985813,247,90
0.6141976091977361,247,93
0.619273622496891,247,96
0.6243496357960459,247,98
0.6294256490952006,247,100
0.6345016623943555,247,102
0.6395776756935103,247,102
0.6446536889926652,247,102
0.64972970229182,247,101
0.6548057155909749,247,100
0.6598817288901297,247,98
0.6649577421892846,247,96
0.6700337554884394,247,93
0.6751097687875942,247,90
0.6801857820867491,248,87
0.6852617953859039,248,85
0.6903378086850588,248,82
0.6954138219842136,248,81
0.7004898352833685,248,80
0.7055658485825232,248,80
0.7106418618816781,248,80
0.715717875180833,248,82
0.7207938884799878,248,84
0.7258699017791427,248,86
0.7309459150782975,247,88
0.7360219283774524,247,91
